x,y
700,200
699,199
698,198
697,197
696,196
695,195
694,194
694,193
694,192
694,191
694,190
694,189
694,188
694,187
694,186
694,185
694,184
693,183
692,182
691,181
690,180
690,179
690,178
690,177
690,176
690,175
690,174
690,173
690,172
689,171
688,170
687,169
686,168
685,167
684,166
683,165
682,164
681,163
680,162
679,161
678,160
677,159
676,158
675,157
674,156
673,155
672,154
671,153
670,152
669,151
668,150
668,149
668,148
668,147
668,146
667,145
666,145
665,144
664,143
663,142
662,141
661,141
660,140
659,139
658,138
657,138
656,137
655,136
654,135
653,134
652,134
651,133
650,132
649,132
648,131
647,130
646,129
645,128
644,128
643,128
642,128
641,128
640,128
639,128
638,128
637,128
636,128
635,128
634,128
633,128
632,128
631,128
630,128
629,128
628,128
627,127
626,126
625,125
624,124
623,123
622,122
621,121
620,120
619,119
618,118
617,118
616,118
615,118
614,118
613,118
612,118
611,118
610,118
609,118
608,118
607,118
606,118
605,118
604,118
603,118
602,118
601,118
600,118
599,118
598,118
597,118
596,118
595,118
594,118
593,118
592,118
591,118
590,118
589,118
588,118
587,118
586,118
585,118
584,118
583,118
582,118
581,118
580,118
579,118
578,118
577,118
576,118
575,118
574,118
573,118
572,118
571,118
570,118
569,118
568,118
567,118
566,118
565,118
564,118
563,118
562,118
561,118
560,118
559,118
558,118
557,118
556,118
555,118
554,118
553,118
552,118
551,118
550,118
549,118
548,118
547,118
546,118
545,118
544,118
543,118
542,118
541,118
540,118
539,118
538,118
537,118
536,118
535,118
534,118
533,118
532,118
531,118
530,118
529,118
528,118
527,118
526,118
525,118
524,118
523,118
522,118
521,118
520,118
519,118
518,118
517,118
516,118
515,118
514,118
513,118
512,118
511,118
510,118
509,118
508,118
507,118
506,118
505,118
504,118
503,118
502,118
501,118
500,118
499,118
498,118
497,118
496,118
495,118
494,118
493,118
492,118
491,118
490,117
489,117
488,117
487,117
486,117
485,117
484,117
483,117
482,117
481,117
480,117
479,117
478,117
477,117
476,117
475,117
474,117
473,117
472,117
471,117
470,117
469,117
468,117
467,117
466,117
465,117
464,117
463,117
462,117
461,117
460,117
459,117
458,117
457,117
456,117
455,117
454,117
453,117
452,117
451,117
450,117
449,117
448,117
447,117
446,117
445,117
444,117
443,117
442,117
441,117
440,117
439,117
438,117
437,117
436,117
435,117
434,117
433,117
432,117
431,117
430,117
429,117
428,117
427,117
426,117
425,117
424,117
423,117
422,117
421,117
420,117
419,117
418,117
417,117
416,117
415,117
414,117
413,117
412,117
411,117
410,117
409,117
408,117
407,117
406,117
405,117
404,117
403,117
402,117
401,117
400,117
399,117
398,117
397,117
396,117
395,117
394,117
393,117
392,117
391,117
390,117
389,117
388,117
387,117
386,117
385,117
384,117
383,117
382,117
381,117
380,117
379,117
378,117
377,117
376,117
375,117
374,117
373,117
372,117
371,117
370,117
369,117
368,117
367,117
366,117
365,117
364,117
363,117
362,117
361,117
360,117
359,117
358,117
357,117
356,117
355,117
354,117
353,117
352,117
351,117
350,117
349,117
348,117
347,117
346,117
345,117
344,117
343,117
342,117
341,117
340,117
339,117
338,117
337,117
336,117
335,117
334,117
333,117
332,117
331,117
330,117
329,117
328,117
327,117
326,117
325,117
324,117
323,117
322,117
321,117
320,117
319,117
318,117
317,117
316,117
315,117
314,117
313,117
312,117
311,117
310,117
309,117
308,117
307,117
306,117
305,117
304,117
303,117
302,117
301,117
300,117
299,117
298,117
297,117
296,117
295,117
294,117
293,117
292,117
291,117
290,117
289,117
288,117
287,117
286,117
285,117
284,117
283,117
282,117
281,117
280,117
279,117
278,117
277,117
276,117
275,117
274,117
273,117
272,117
271,117
270,117
269,117
268,117
267,117
266,117
265,117
264,117
263,117
262,117
261,117
260,117
259,117
258,117
257,117
256,117
255,117
254,117
253,117
252,117
251,117
250,117
249,117
248,117
247,117
246,117
245,117
244,117
243,117
242,117
241,117
240,117
239,117
238,117
237,117
236,117
235,117
234,117
233,117
232,117
231,117
230,117
229,117
228,117
227,117
226,117
225,117
224,117
223,117
222,117
221,117
220,116
219,116
218,115
217,114
216,113
215,113
214,112
213,111
212,111
211,110
210,109
209,108
208,108
207,107
206,106
205,105
204,105
203,104
202,103
201,103
200,102
199,101
198,100
197,99
196,99
195,98
194,98
193,98
192,98
191,97
190,97
189,96
188,96
187,96
186,95
185,95
184,94
183,94
182,94
181,94
180,93
179,93
178,93
177,92
176,92
175,91
174,91
173,91
172,90
171,90
170,89
169,89
168,89
167,90
166,90
165,90
164,90
163,91
162,91
161,91
160,91
159,91
158,91
157,92
156,92
155,92
154,92
153,92
152,92
151,93
150,93
149,93
148,93
147,93
146,94
145,95
144,96
143,97
142,98
141,98
140,99
139,100
138,101
137,101
136,102
135,103
134,104
133,105
132,106
131,107
130,108
129,109
128,110
127,111
126,112
125,113
124,114
123,115
122,116
121,117
120,118
119,119
118,120
117,121
116,122
115,123
114,124
113,125
112,126
111,127
110,128
109,129
108,130
107,131
106,132
105,133
104,134
103,135
102,136
101,137
100,138
100,139
100,140
100,141
100,142
100,143
100,144
100,145
100,146
100,147
100,148
100,149
100,150
100,151
100,152
100,153
100,154
100,155
100,156
100,157
100,158
100,159
100,160
100,161
100,162
100,163
100,164
100,165
100,166
100,167
100,168
100,169
100,170
100,171
100,172
100,173
100,174
100,175
100,176
100,177
100,178
100,179
100,180
100,181
100,182
100,183
100,184
100,185
100,186
100,187
100,188
100,189
100,190
100,191
100,192
100,193
100,194
100,195
100,196
100,197
100,198
100,199
100,200
100,201
100,202
100,203
100,204
100,205
100,206
100,207
100,208
100,209
100,210
100,211
100,212
100,213
100,214
100,215
100,216
100,217
100,218
100,219
100,220
100,221
100,222
100,223
100,224
100,225
100,226
100,227
100,228
100,229
100,230
100,231
100,232
100,233
100,234
100,235
100,236
100,237
100,238
100,239
100,240
100,241
100,242
100,243
100,244
100,245
100,246
100,247
100,248
100,249
100,250
100,251
100,252
100,253
100,254
100,255
100,256
100,257
100,258
100,259
100,260
100,261
100,262
100,263
100,264
100,265
100,266
100,267
100,268
100,269
100,270
100,271
100,272
100,273
100,274
100,275
100,276
100,277
100,278
100,279
100,280
100,281
100,282
100,283
100,284
100,285
100,286
100,287
100,288
100,289
100,290
100,291
100,292
100,293
100,294
100,295
99,296
98,297
97,298
96,299
95,300
94,301
93,302
92,303
91,304
90,305
89,306
88,307
87,308
86,309
85,310
84,311
83,312
82,313
81,314
80,315
79,316
78,317
77,318
77,319
77,320
77,321
77,322
77,323
77,324
77,325
77,326
77,327
77,328
77,329
77,330
77,331
77,332
77,333
77,334
77,335
77,336
77,337
77,338
77,339
77,340
77,341
77,342
77,343
77,344
77,345
77,346
77,347
77,348
77,349
77,350
77,351
77,352
77,353
77,354
77,355
77,356
77,357
77,358
77,359
77,360
77,361
77,362
77,363
77,364
77,365
77,366
77,367
77,368
77,369
77,370
77,371
77,372
77,373
77,374
77,375
77,376
77,377
77,378
77,379
77,380
77,381
77,382
77,383
77,384
77,385
77,386
77,387
77,388
77,389
77,390
77,391
77,392
77,393
77,394
77,395
77,396
77,397
77,398
77,399
77,400
77,401
77,402
77,403
77,404
77,405
77,406
77,407
77,408
77,409
77,410
77,411
77,412
77,413
77,414
77,415
77,416
77,417
77,418
77,419
76,420
76,421
76,422
76,423
76,424
76,425
75,426
75,427
75,428
75,429
75,430
75,431
75,432
75,433
75,434
75,435
75,436
75,437
75,438
75,439
75,440
75,441
75,442
75,443
75,444
75,445
75,446
75,447
75,448
75,449
75,450
75,451
75,452
75,453
75,454
75,455
75,456
75,457
75,458
75,459
75,460
75,461
75,462
75,463
75,464
75,465
75,466
75,467
74,468
74,469
75,470
76,471
77,472
78,473
79,474
80,475
81,476
82,477
83,478
84,479
85,480
86,481
87,482
88,483
89,484
90,485
91,486
92,487
93,488
94,489
95,490
96,491
97,492
98,493
99,494
100,495
100,496
100,497
100,498
100,499
100,500
100,501
100,502
100,503
100,504
100,505
100,506
100,507
100,508
100,509
100,510
100,511
100,512
100,513
100,514
100,515
100,516
100,517
100,518
100,519
100,520
100,521
100,522
100,523
100,524
100,525
100,526
100,527
100,528
100,529
100,530
100,531
100,532
100,533
100,534
100,535
100,536
100,537
100,538
100,539
100,540
100,541
100,542
100,543
100,544
100,545
100,546
100,547
100,548
100,549
100,550
100,551
100,552
100,553
100,554
100,555
100,556
100,557
100,558
100,559
100,560
100,561
100,562
100,563
100,564
100,565
100,566
100,567
100,568
100,569
100,570
100,571
100,572
100,573
100,574
100,575
100,576
100,577
100,578
100,579
100,580
100,581
100,582
100,583
100,584
100,585
100,586
100,587
100,588
100,589
100,590
100,591
100,592
100,593
100,594
100,595
100,596
100,597
100,598
100,599
100,600
100,601
100,602
100,603
100,604
100,605
100,606
100,607
100,608
100,609
100,610
100,611
100,612
100,613
100,614
100,615
100,616
100,617
100,618
100,619
100,620
100,621
100,622
100,623
100,624
100,625
100,626
100,627
100,628
100,629
100,630
100,631
100,632
100,633
100,634
100,635
100,636
100,637
100,638
100,639
100,640
100,641
100,642
100,643
100,644
100,645
100,646
100,647
100,648
100,649
100,650
100,651
100,652
100,653
100,654
100,655
100,656
100,657
100,658
100,659
100,660
100,661
100,662
100,663
100,664
100,665
100,666
100,667
100,668
100,669
100,670
100,671
100,672
100,673
100,674
100,675
100,676
100,677
100,678
100,679
100,680
100,681
100,682
100,683
100,684
100,685
100,686
100,687
100,688
100,689
100,690
100,691
